,error message,script,time_stamp
0,"Message: no such element: Unable to locate element: {""method"":""class name"",""selector"":""_4tgw8""}
  (Session info: chrome=63.0.3239.84)
  (Driver info: chromedriver=2.32.498550 (9dec58e66c31bcc53a9ce3c7226f0c1c5810906a),platform=Windows NT 10.0.16299 x86_64)
",Follow and like by tag,2017-12-20 19:36:16.379043
0,"Message: no such element: Unable to locate element: {""method"":""class name"",""selector"":""_4tgw8""}
  (Session info: chrome=63.0.3239.84)
  (Driver info: chromedriver=2.32.498550 (9dec58e66c31bcc53a9ce3c7226f0c1c5810906a),platform=Windows NT 10.0.16299 x86_64)
",Follow and like by tag,2017-12-20 22:25:27.262953
0,list index out of range,new FOLLOW script,2017-12-20 23:41:15.803247
0,pickle data was truncated,Valeria new unfollowing script,2017-12-21 04:21:34.313209
0,"Message: no such element: Unable to locate element: {""method"":""class name"",""selector"":""_4tgw8""}
  (Session info: chrome=63.0.3239.84)
  (Driver info: chromedriver=2.32.498550 (9dec58e66c31bcc53a9ce3c7226f0c1c5810906a),platform=Windows NT 10.0.16299 x86_64)
",Follow and like by tag,2017-12-21 08:36:47.089438
0,pickle data was truncated,Valeria new unfollowing script,2017-12-21 09:33:03.119951
0,pickle data was truncated,new FOLLOW script,2017-12-21 12:40:44.089372
0,"Message: unknown error: Chrome failed to start: crashed
  (Driver info: chromedriver=2.32.498550 (9dec58e66c31bcc53a9ce3c7226f0c1c5810906a),platform=Windows NT 10.0.16299 x86_64)
",Valeria new unfollowing script,2017-12-21 14:46:28.808879
0,"Message: no such element: Unable to locate element: {""method"":""class name"",""selector"":""_4tgw8""}
  (Session info: chrome=63.0.3239.84)
  (Driver info: chromedriver=2.32.498550 (9dec58e66c31bcc53a9ce3c7226f0c1c5810906a),platform=Windows NT 10.0.16299 x86_64)
",Follow and like by tag,2017-12-21 18:15:19.815773
0,Ran out of input,Valeria new unfollowing script,2017-12-21 19:09:49.205636
0,list index out of range,Valeria new unfollowing script,2017-12-21 19:11:58.325160
0,Ran out of input,new FOLLOW script,2017-12-21 19:26:40.928332
0,Ran out of input,Valeria new unfollowing script,2017-12-21 22:00:08.259914
0,Ran out of input,Follow Famous people followers,2017-12-21 22:19:54.006555
0,"Message: no such element: Unable to locate element: {""method"":""class name"",""selector"":""_4tgw8""}
  (Session info: chrome=63.0.3239.84)
  (Driver info: chromedriver=2.32.498550 (9dec58e66c31bcc53a9ce3c7226f0c1c5810906a),platform=Windows NT 10.0.16299 x86_64)
",Follow and like by tag,2017-12-21 22:28:46.668691
0,invalid literal for int() with base 10: '974 following',new FOLLOW script,2017-12-22 06:11:48.454137
